passenger_rank,airport_code,city_name,state_name,average_fair,average_fair_adjusted,year,quarter
1,LAX,Los Angeles,CA,328.17,328.17,2020,1
2,ORD,Chicago-O'Hare,IL,332.05,332.05,2020,1
3,DEN,Denver,CO,295.96,295.96,2020,1
4,ATL,Atlanta,GA,359.58,359.58,2020,1
5,BOS,Boston,MA,324.85,324.85,2020,1
6,SFO,San Francisco,CA,371.76,371.76,2020,1
7,SEA,Seattle,WA,307.52,307.52,2020,1
8,EWR,Newark,NJ,369.92,369.92,2020,1
9,DFW,Dallas-DFW,TX,400.52,400.52,2020,1
10,JFK,New York-JFK,NY,388.19,388.19,2020,1
11,LGA,New York-La Guardia,NY,323.66,323.66,2020,1
12,MCO,Orlando,FL,240.14,240.14,2020,1
13,PHX,Phoenix,AZ,321.07,321.07,2020,1
14,MSP,Minneapolis,MN,368.08,368.08,2020,1
15,LAS,Las Vegas,NV,233.78,233.78,2020,1
16,PHL,Philadelphia,PA,364.30,364.30,2020,1
17,SAN,San Diego,CA,303.99,303.99,2020,1
18,DTW,Detroit,MI,362.02,362.02,2020,1
19,FLL,Fort Lauderdale,FL,243.16,243.16,2020,1
20,BWI,Baltimore,MD,308.59,308.59,2020,1
21,DCA,Washington-Reagan National,DC,359.95,359.95,2020,1
22,IAH,Houston-Intercontinental,TX,394.33,394.33,2020,1
23,PDX,Portland,OR,308.35,308.35,2020,1
24,TPA,Tampa,FL,290.46,290.46,2020,1
25,AUS,Austin,TX,317.02,317.02,2020,1
26,SLC,Salt Lake City,UT,364.52,364.52,2020,1
27,CLT,Charlotte,NC,393.31,393.31,2020,1
28,SJC,San Jose,CA,272.38,272.38,2020,1
29,RDU,Raleigh/Durham,NC,322.21,322.21,2020,1
30,MIA,Miami,FL,314.31,314.31,2020,1
31,SMF,Sacramento,CA,308.99,308.99,2020,1
32,BNA,Nashville,TN,326.36,326.36,2020,1
33,MDW,Chicago-Midway,IL,281.92,281.92,2020,1
34,OAK,Oakland,CA,280.62,280.62,2020,1
35,STL,St. Louis,MO,363.53,363.53,2020,1
36,MCI,Kansas City,MO,366.88,366.88,2020,1
37,HNL,Honolulu,HI,300.93,300.93,2020,1
38,IAD,Washington-Dulles,DC,450.35,450.35,2020,1
39,DAL,Dallas-Love Field,TX,310.19,310.19,2020,1
40,CLE,Cleveland,OH,301.08,301.08,2020,1
41,MSY,New Orleans,LA,287.37,287.37,2020,1
42,IND,Indianapolis,IN,333.39,333.39,2020,1
43,PIT,Pittsburgh,PA,342.28,342.28,2020,1
44,SNA,Santa Ana,CA,378.53,378.53,2020,1
45,CVG,Cincinnati,OH,315.56,315.56,2020,1
46,SAT,San Antonio,TX,359.31,359.31,2020,1
47,HOU,Houston-Hobby,TX,324.40,324.40,2020,1
48,CMH,Columbus,OH,350.49,350.49,2020,1
49,BDL,Hartford,CT,356.73,356.73,2020,1
50,SJU,San Juan,PR,242.70,242.70,2020,1
51,MKE,Milwaukee,WI,339.95,339.95,2020,1
52,RSW,Fort Myers,FL,281.74,281.74,2020,1
53,JAX,Jacksonville,FL,354.63,354.63,2020,1
54,BUR,Burbank,CA,267.98,267.98,2020,1
55,PBI,West Palm Beach/Palm Beach,FL,322.66,322.66,2020,1
56,ONT,Ontario,CA,318.71,318.71,2020,1
57,BUF,Buffalo,NY,319.06,319.06,2020,1
58,OMA,Omaha,NE,360.90,360.90,2020,1
59,ABQ,Albuquerque,NM,343.84,343.84,2020,1
60,RIC,Richmond,VA,374.11,374.11,2020,1
61,MEM,Memphis,TN,369.54,369.54,2020,1
62,PVD,Providence,RI,322.52,322.52,2020,1
63,OKC,Oklahoma City,OK,373.83,373.83,2020,1
64,BOI,Boise,ID,331.89,331.89,2020,1
65,ORF,Norfolk,VA,383.17,383.17,2020,1
66,GRR,Grand Rapids,MI,336.86,336.86,2020,1
67,SDF,Louisville,KY,369.67,369.67,2020,1
68,GEG,Spokane,WA,331.15,331.15,2020,1
69,CHS,Charleston,SC,353.88,353.88,2020,1
70,ANC,Anchorage,AK,458.72,458.72,2020,1
71,RNO,Reno,NV,336.10,336.10,2020,1
72,LGB,Long Beach,CA,213.87,213.87,2020,1
73,OGG,Kahului,HI,271.48,271.48,2020,1
74,ELP,El Paso,TX,355.04,355.04,2020,1
75,TUS,Tucson,AZ,349.23,349.23,2020,1
76,ALB,Albany,NY,367.26,367.26,2020,1
77,DSM,Des Moines,IA,366.56,366.56,2020,1
78,BHM,Birmingham,AL,424.36,424.36,2020,1
79,TUL,Tulsa,OK,391.95,391.95,2020,1
80,SYR,Syracuse,NY,347.46,347.46,2020,1
81,ROC,Rochester,NY,368.42,368.42,2020,1
82,GSP,Greer,SC,387.86,387.86,2020,1
83,MSN,Madison,WI,403.76,403.76,2020,1
84,TYS,Knoxville,TN,387.01,387.01,2020,1
85,LIT,Little Rock,AR,397.42,397.42,2020,1
86,KOA,Kona,HI,261.88,261.88,2020,1
87,PWM,Portland,ME,348.39,348.39,2020,1
88,SAV,Savannah,GA,379.69,379.69,2020,1
89,GSO,Greensboro/High Point,NC,396.70,396.70,2020,1
90,HPN,White Plains,NY,390.59,390.59,2020,1
91,SFB,Sanford,FL,115.78,115.78,2020,1
92,PNS,Pensacola,FL,400.44,400.44,2020,1
93,LIH,Lihue,HI,244.11,244.11,2020,1
94,FAT,Fresno,CA,373.67,373.67,2020,1
95,MHT,Manchester,NH,372.19,372.19,2020,1
96,ICT,Wichita,KS,382.82,382.82,2020,1
97,DAY,Dayton,OH,430.11,430.11,2020,1
98,XNA,Fayetteville,AR,447.23,447.23,2020,1
99,ISP,Islip,NY,261.72,261.72,2020,1
100,PIE,St. Petersburg,FL,116.92,116.92,2020,1
101,COS,Colorado Springs,CO,382.39,382.39,2020,1
102,MDT,Harrisburg,PA,393.61,393.61,2020,1
103,SRQ,Sarasota/Bradenton,FL,316.98,316.98,2020,1
104,PSP,Palm Springs,CA,352.47,352.47,2020,1
105,MYR,Myrtle Beach,SC,315.45,315.45,2020,1
106,CID,Cedar Rapids/Iowa City,IA,364.38,364.38,2020,1
107,AZA,Phoenix,AZ,129.08,129.08,2020,1
108,LEX,Lexington,KY,391.55,391.55,2020,1
109,BTV,Burlington,VT,413.95,413.95,2020,1
110,HSV,Huntsville,AL,516.82,516.82,2020,1
111,AVL,Asheville,NC,296.31,296.31,2020,1
112,EUG,Eugene,OR,340.87,340.87,2020,1
113,MAF,Midland/Odessa,TX,457.79,457.79,2020,1
114,CAE,Columbia,SC,437.85,437.85,2020,1
115,FSD,Sioux Falls,SD,381.18,381.18,2020,1
116,BZN,Bozeman,MT,404.76,404.76,2020,1
117,CHA,Chattanooga,TN,429.30,429.30,2020,1
118,SGF,Springfield,MO,412.19,412.19,2020,1
119,PGD,Punta Gorda,FL,129.62,129.62,2020,1
120,MFR,Medford,OR,336.72,336.72,2020,1
121,ILM,Wilmington,NC,413.15,413.15,2020,1
122,JAN,Jackson/Vicksburg,MS,503.40,503.40,2020,1
123,ABE,Allentown/Bethlehem/Easton,PA,296.82,296.82,2020,1
124,VPS,Valparaiso,FL,416.12,416.12,2020,1
125,LBB,Lubbock,TX,399.72,399.72,2020,1
126,FAR,Fargo,ND,403.40,403.40,2020,1
127,TTN,Trenton,NJ,122.36,122.36,2020,1
128,RDM,Bend/Redmond,OR,337.12,337.12,2020,1
129,ACY,Atlantic City,NJ,112.63,112.63,2020,1
130,MFE,Mission/McAllen/Edinburg,TX,393.72,393.72,2020,1
131,FAI,Fairbanks,AK,420.60,420.60,2020,1
132,ITO,Hilo,HI,178.11,178.11,2020,1
133,PSC,Pasco/Kennewick/Richland,WA,395.42,395.42,2020,1
134,SBN,South Bend,IN,348.90,348.90,2020,1
135,SBA,Santa Barbara,CA,405.74,405.74,2020,1
136,PAE,Everett,WA,274.98,274.98,2020,1
137,CAK,Akron,OH,342.00,342.00,2020,1
138,FWA,Fort Wayne,IN,360.64,360.64,2020,1
139,BLI,Bellingham,WA,241.37,241.37,2020,1
140,BIL,Billings,MT,397.94,397.94,2020,1
141,MSO,Missoula,MT,398.97,398.97,2020,1
142,ECP,Panama City,FL,388.97,388.97,2020,1
143,ATW,Appleton,WI,399.27,399.27,2020,1
144,CHO,Charlottesville,VA,420.49,420.49,2020,1
145,PIA,Peoria,IL,338.39,338.39,2020,1
146,MLI,Moline,IL,370.44,370.44,2020,1
147,BTR,Baton Rouge,LA,468.86,468.86,2020,1
148,TLH,Tallahassee,FL,479.57,479.57,2020,1
149,BQN,Aguadilla,PR,188.58,188.58,2020,1
150,AGS,Augusta,GA,430.90,430.90,2020,1
151,FNT,Flint,MI,282.06,282.06,2020,1
152,ROA,Roanoke,VA,448.90,448.90,2020,1
153,STT,Charlotte Amalie,VI,345.75,345.75,2020,1
154,BIS,Bismarck/Mandan,ND,383.77,383.77,2020,1
155,GRB,Green Bay,WI,471.77,471.77,2020,1
156,AMA,Amarillo,TX,408.59,408.59,2020,1
157,SHV,Shreveport,LA,474.74,474.74,2020,1
158,AVP,Scranton/Wilkes-Barre,PA,399.82,399.82,2020,1
159,DAB,Daytona Beach,FL,397.45,397.45,2020,1
160,CRP,Corpus Christi,TX,451.86,451.86,2020,1
161,HRL,Harlingen/San Benito,TX,298.48,298.48,2020,1
162,RAP,Rapid City,SD,409.44,409.44,2020,1
163,GNV,Gainesville,FL,406.68,406.68,2020,1
164,BGR,Bangor,ME,362.82,362.82,2020,1
165,MOB,Mobile,AL,461.15,461.15,2020,1
166,FCA,Kalispell,MT,396.51,396.51,2020,1
167,SBP,San Luis Obispo,CA,421.02,421.02,2020,1
168,LFT,Lafayette,LA,489.34,489.34,2020,1
169,GPT,Gulfport/Biloxi,MS,425.29,425.29,2020,1
170,BMI,Bloomington/Normal,IL,354.51,354.51,2020,1
171,STS,Santa Rosa,CA,312.62,312.62,2020,1
172,JNU,Juneau,AK,416.98,416.98,2020,1
173,EVV,Evansville,IN,426.68,426.68,2020,1
174,TVC,Traverse City,MI,382.55,382.55,2020,1
175,FAY,Fayetteville,NC,413.26,413.26,2020,1
176,GJT,Grand Junction,CO,388.06,388.06,2020,1
177,MLB,Melbourne,FL,411.58,411.58,2020,1
178,PHF,Newport News/Williamsburg,VA,455.48,455.48,2020,1
179,CRW,Charleston/Dunbar,WV,472.67,472.67,2020,1
180,TRI,Bristol/Johnson City/Kingsport,TN,479.41,479.41,2020,1
181,EYW,Key West,FL,428.40,428.40,2020,1
182,BLV,Belleville,IL,152.14,152.14,2020,1
183,SWF,Newburgh/Poughkeepsie,NY,285.91,285.91,2020,1
184,JAC,Jackson,WY,550.56,550.56,2020,1
185,LCK,Columbus,OH,129.55,129.55,2020,1
186,MRY,Monterey,CA,377.38,377.38,2020,1
187,USA,Concord,NC,117.75,117.75,2020,1
188,GTF,Great Falls,MT,397.07,397.07,2020,1
189,SCE,State College,PA,430.16,430.16,2020,1
190,OAJ,Jacksonville/Camp Lejeune,NC,372.81,372.81,2020,1
191,MOT,Minot,ND,402.16,402.16,2020,1
192,LBE,Latrobe,PA,121.50,121.50,2020,1
193,MGM,Montgomery,AL,503.81,503.81,2020,1
194,PBG,Plattsburgh,NY,224.68,224.68,2020,1
195,RST,Rochester,MN,396.49,396.49,2020,1
196,IDA,Idaho Falls,ID,488.46,488.46,2020,1
197,LAN,Lansing,MI,406.19,406.19,2020,1
198,ELM,Elmira/Corning,NY,349.38,349.38,2020,1
199,GRK,Killeen,TX,386.56,386.56,2020,1
200,ASE,Aspen,CO,540.81,540.81,2020,1
201,DRO,Durango,CO,482.80,482.80,2020,1
202,RFD,Rockford,IL,166.36,166.36,2020,1
203,DLH,Duluth,MN,420.41,420.41,2020,1
204,BFL,Bakersfield,CA,441.03,441.03,2020,1
205,AZO,Kalamazoo,MI,458.35,458.35,2020,1
206,LNK,Lincoln,NE,461.13,461.13,2020,1
207,IAG,Niagara Falls,NY,169.90,169.90,2020,1
208,TOL,Toledo,OH,242.51,242.51,2020,1
209,CWA,Mosinee,WI,472.94,472.94,2020,1
210,STX,Christiansted,VI,466.53,466.53,2020,1
211,HTS,Ashland,WV,253.60,253.60,2020,1
212,COU,Columbia,MO,421.58,421.58,2020,1
213,MBS,Saginaw/Bay City/Midland,MI,517.51,517.51,2020,1
214,SCK,Stockton,CA,141.33,141.33,2020,1
215,GFK,Grand Forks,ND,415.88,415.88,2020,1
216,EWN,New Bern/Morehead/Beaufort,NC,409.82,409.82,2020,1
217,BRO,Brownsville,TX,390.12,390.12,2020,1
218,PSE,Ponce,PR,204.65,204.65,2020,1
219,AEX,Alexandria,LA,481.08,481.08,2020,1
220,CMI,Champaign/Urbana,IL,532.04,532.04,2020,1
221,MLU,Monroe,LA,462.37,462.37,2020,1
222,ORH,Worcester,MA,319.98,319.98,2020,1
223,HLN,Helena,MT,484.57,484.57,2020,1
224,ITH,Ithaca/Cortland,NY,455.47,455.47,2020,1
225,PVU,Provo,UT,99.47,99.47,2020,1
226,FLG,Flagstaff,AZ,378.70,378.70,2020,1
227,ERI,Erie,PA,378.83,378.83,2020,1
228,LSE,La Crosse,WI,479.16,479.16,2020,1
229,SAF,Santa Fe,NM,405.33,405.33,2020,1
230,LYH,Lynchburg,VA,451.86,451.86,2020,1
231,LRD,Laredo,TX,417.62,417.62,2020,1
232,YUM,Yuma,AZ,453.32,453.32,2020,1
233,CPR,Casper,WY,530.16,530.16,2020,1
234,KTN,Ketchikan,AK,477.37,477.37,2020,1
235,SGU,St. George,UT,389.65,389.65,2020,1
236,MTJ,Montrose/Delta,CO,428.31,428.31,2020,1
237,FSM,Fort Smith,AR,514.46,514.46,2020,1
238,GUM,Guam,TT,"1,201.57","1,201.57",2020,1
239,ABI,Abilene,TX,541.33,541.33,2020,1
240,GRI,Grand Island,NE,293.58,293.58,2020,1
241,ACV,Arcata/Eureka,CA,467.39,467.39,2020,1
242,MHK,Manhattan/Ft. Riley,KS,524.35,524.35,2020,1
243,SPI,Springfield,IL,332.51,332.51,2020,1
244,CLL,College Station/Bryan,TX,454.10,454.10,2020,1
245,EGE,Eagle,CO,560.43,560.43,2020,1
246,BET,Bethel,AK,367.21,367.21,2020,1
247,PSM,Portsmouth,NH,217.79,217.79,2020,1
248,HHH,Hilton Head,SC,431.32,431.32,2020,1
249,YKM,Yakima,WA,412.67,412.67,2020,1
250,SUN,Sun Valley/Hailey/Ketchum,ID,473.48,473.48,2020,1
251,PUW,Pullman,WA,372.30,372.30,2020,1
252,SJT,San Angelo,TX,534.17,534.17,2020,1
253,SBY,Salisbury,MD,469.52,469.52,2020,1
254,EAT,Wenatchee,WA,377.02,377.02,2020,1
255,LCH,Lake Charles,LA,515.36,515.36,2020,1
256,TYR,Tyler,TX,502.12,502.12,2020,1
257,ACK,Nantucket,MA,528.65,528.65,2020,1
258,ACT,Waco,TX,589.76,589.76,2020,1
259,SIT,Sitka,AK,410.22,410.22,2020,1
260,MQT,Marquette,MI,536.17,536.17,2020,1
261,ROW,Roswell,NM,461.26,461.26,2020,1
262,PIH,Pocatello,ID,586.88,586.88,2020,1
263,PGV,Greenville,NC,401.67,401.67,2020,1
264,SCC,Deadhorse,AK,419.82,419.82,2020,1
265,ADQ,Kodiak,AK,500.26,500.26,2020,1
266,JLN,Joplin,MO,428.69,428.69,2020,1
267,RDD,Redding,CA,493.01,493.01,2020,1
268,TWF,Twin Falls,ID,609.94,609.94,2020,1
269,DHN,Dothan,AL,562.00,562.00,2020,1
270,HVN,New Haven,CT,357.09,357.09,2020,1
271,LAW,Lawton/Fort Sill,OK,467.28,467.28,2020,1
272,SUX,Sioux City,IA,441.42,441.42,2020,1
273,VLD,Valdosta,GA,592.22,592.22,2020,1
274,SPS,Wichita Falls,TX,433.59,433.59,2020,1
275,ALW,Walla Walla,WA,344.80,344.80,2020,1
276,FLO,Florence,SC,444.14,444.14,2020,1
277,GTR,Columbus,MS,567.98,567.98,2020,1
278,LWS,Lewiston,ID,588.27,588.27,2020,1
279,BGM,Binghamton,NY,481.94,481.94,2020,1
280,CKB,Clarksburg/Fairmont,WV,253.94,253.94,2020,1
281,HDN,Hayden,CO,456.86,456.86,2020,1
282,CSG,Columbus,GA,474.33,474.33,2020,1
283,TXK,Texarkana,AR,539.74,539.74,2020,1
284,SPN,Saipan,TT,383.13,383.13,2020,1
285,DBQ,Dubuque,IA,494.98,494.98,2020,1
286,OTZ,Kotzebue,AK,459.07,459.07,2020,1
287,ABY,Albany,GA,510.17,510.17,2020,1
288,OME,Nome,AK,518.02,518.02,2020,1
289,HGR,Hagerstown,MD,143.10,143.10,2020,1
290,BRW,Barrow,AK,482.67,482.67,2020,1
291,BJI,Bemidji,MN,549.18,549.18,2020,1
292,PPG,Pago Pago,TT,"1,093.51","1,093.51",2020,1
293,ABR,Aberdeen,SD,561.89,561.89,2020,1
294,BQK,Brunswick,GA,522.76,522.76,2020,1
295,SMX,Santa Maria,CA,112.89,112.89,2020,1
296,BPT,Beaumont/Port Arthur,TX,486.28,486.28,2020,1
297,SWO,Stillwater,OK,442.36,442.36,2020,1
298,GGG,Longview,TX,537.72,537.72,2020,1
299,COD,Cody,WY,510.66,510.66,2020,1
300,OGS,Ogdensburg,NY,260.49,260.49,2020,1
301,CIU,Sault Ste. Marie,MI,539.72,539.72,2020,1
302,STC,St. Cloud,MN,246.32,246.32,2020,1
303,RHI,Rhinelander,WI,551.80,551.80,2020,1
304,MVY,Martha's Vineyard,MA,496.62,496.62,2020,1
305,HOB,Hobbs,NM,473.92,473.92,2020,1
306,BTM,Butte,MT,549.95,549.95,2020,1
307,GCC,Gillette,WY,547.23,547.23,2020,1
308,GCK,Garden City,KS,444.23,444.23,2020,1
309,CDC,Cedar City,UT,409.20,409.20,2020,1
310,BRD,Brainerd,MN,598.43,598.43,2020,1
311,PLN,Pellston,MI,570.17,570.17,2020,1
312,ART,Watertown,NY,407.11,407.11,2020,1
313,RKS,Rock Springs,WY,516.46,516.46,2020,1
314,ALO,Waterloo,IA,520.38,520.38,2020,1
315,DRT,Del Rio,TX,414.01,414.01,2020,1
316,MEI,Meridian,MS,436.71,436.71,2020,1
317,EAU,Eau Claire,WI,471.79,471.79,2020,1
318,IMT,Iron Mountain/Kingsfd,MI,464.57,464.57,2020,1
319,IPT,Williamsport,PA,375.83,375.83,2020,1
320,EKO,Elko,NV,610.07,610.07,2020,1
321,EAR,Kearney,NE,473.93,473.93,2020,1
322,HIB,Hibbing,MN,533.82,533.82,2020,1
323,LAR,Laramie,WY,499.60,499.60,2020,1
324,ESC,Escanaba,MI,446.65,446.65,2020,1
325,MKG,Muskegon,MI,419.56,419.56,2020,1
326,DIK,Dickinson,ND,522.57,522.57,2020,1
327,CMX,Hancock/Houghton,MI,513.22,513.22,2020,1
328,OWB,Owensboro,KY,126.01,126.01,2020,1
329,PSG,Petersburg,AK,405.03,405.03,2020,1
330,PRC,Prescott,AZ,490.25,490.25,2020,1
331,BFF,Scottsbluff,NE,493.05,493.05,2020,1
332,XWA,Williston,ND,605.65,605.65,2020,1
333,DUT,Unalaska,AK,"1,074.33","1,074.33",2020,1
334,CYS,Cheyenne,WY,373.97,373.97,2020,1
335,BFM,Mobile,AL,131.77,131.77,2020,1
336,LBF,North Platte,NE,471.60,471.60,2020,1
337,OGD,Ogden,UT,103.72,103.72,2020,1
338,PAH,Paducah,KY,565.75,565.75,2020,1
339,HYS,Hays,KS,508.10,508.10,2020,1
340,CDV,Cordova,AK,379.23,379.23,2020,1
341,GUC,Gunnison,CO,483.94,483.94,2020,1
342,APN,Alpena,MI,469.97,469.97,2020,1
343,SHD,Staunton,VA,474.26,474.26,2020,1
344,WRG,Wrangell,AK,342.02,342.02,2020,1
345,MMH,Mammoth Lakes,CA,288.63,288.63,2020,1
345,PUB,Pueblo,CO,439.03,439.03,2020,1
347,PIR,Pierre,SD,484.55,484.55,2020,1
348,SLN,Salina,KS,443.22,443.22,2020,1
349,INL,International Falls,MN,481.87,481.87,2020,1
350,VEL,Vernal,UT,499.03,499.03,2020,1
351,PQI,Presque Isle/Houlton,ME,503.31,503.31,2020,1
352,PIB,Hattiesburg/Laurel,MS,387.19,387.19,2020,1
353,CGI,Cape Girardeau,MO,518.69,518.69,2020,1
354,AKN,King Salmon,AK,846.25,846.25,2020,1
355,UIN,Quincy,IL,380.00,380.00,2020,1
356,ENA,Kenai,AK,594.54,594.54,2020,1
357,JMS,Jamestown,ND,529.64,529.64,2020,1
358,CNY,Moab,UT,411.31,411.31,2020,1
359,ATY,Watertown,SD,420.26,420.26,2020,1
360,DLG,Dillingham,AK,786.71,786.71,2020,1
361,OTH,North Bend/Coos Bay,OR,418.09,418.09,2020,1
362,LBL,Liberal,KS,436.77,436.77,2020,1
363,YAK,Yakutat,AK,437.13,437.13,2020,1
364,MKK,Hoolehua,HI,245.88,245.88,2020,1
365,HYA,Hyannis,MA,405.78,405.78,2020,1
366,DVL,Devils Lake,ND,467.48,467.48,2020,1
367,LWB,Lewisburg,WV,479.82,479.82,2020,1
368,LNY,Lanai,HI,235.07,235.07,2020,1
369,HOM,Homer,AK,593.77,593.77,2020,1
370,JHM,Kapalua,HI,285.98,285.98,2020,1
371,LEB,Lebanon-Hanover,NH,360.56,360.56,2020,1
372,MWA,Marion/Herrin,IL,427.33,427.33,2020,1
373,AUG,Augusta/Waterville,ME,427.43,427.43,2020,1
374,BHB,Bar Harbor,ME,551.83,551.83,2020,1
375,VCT,Victoria,TX,334.94,334.94,2020,1
376,ALS,Alamosa,CO,478.28,478.28,2020,1
376,TEX,Telluride,CO,684.77,684.77,2020,1
378,ADK,Adak Island,AK,"1,168.26","1,168.26",2020,1
379,DDC,Dodge City,KS,504.80,504.80,2020,1
380,PVC,Provincetown,MA,396.77,396.77,2020,1
381,RUT,Rutland,VT,393.89,393.89,2020,1
382,RKD,Rockland,ME,417.27,417.27,2020,1
383,CEZ,Cortez,CO,407.87,407.87,2020,1
383,IRK,Kirksville,MO,485.43,485.43,2020,1
385,VDZ,Valdez,AK,666.38,666.38,2020,1
386,DEC,Decatur,IL,364.49,364.49,2020,1
387,SHR,Sheridan,WY,560.34,560.34,2020,1
388,SLK,Saranac Lake/Lake Placid,NY,402.92,402.92,2020,1
389,DUJ,DuBois,PA,487.00,487.00,2020,1
390,RIW,Riverton/Lander,WY,517.96,517.96,2020,1
391,MAZ,Mayaguez,PR,471.67,471.67,2020,1
392,MGW,Morgantown,WV,373.31,373.31,2020,1
393,SDP,Sandpoint,AK,729.00,729.00,2020,1
394,CDB,Cold Bay,AK,"1,012.43","1,012.43",2020,1
395,MCK,McCook,NE,410.75,410.75,2020,1
396,BFD,Bradford,PA,479.33,479.33,2020,1
396,JST,Johnstown,PA,539.57,539.57,2020,1
398,VQS,Vieques,PR,677.18,677.18,2020,1
399,PDT,Pendleton,OR,415.08,415.08,2020,1
400,AOO,Altoona,PA,301.75,301.75,2020,1
401,TVF,Thief River Falls,MN,336.33,336.33,2020,1
401,TBN,Fort Leonard Wood,MO,388.93,388.93,2020,1
403,CDR,Chadron,NE,305.12,305.12,2020,1
404,CVN,Clovis,NM,346.89,346.89,2020,1
405,IPL,El Centro,CA,345.50,345.50,2020,1
405,SDY,Sidney,MT,512.50,512.50,2020,1
407,SOW,Show Low,AZ,480.25,480.25,2020,1
408,MSS,Massena,NY,274.67,274.67,2020,1
409,CNM,Carlsbad,NM,432.20,432.20,2020,1
410,MSL,Muscle Shoals,AL,635.00,635.00,2020,1
411,MCE,Merced,CA,453.80,453.80,2020,1
412,AIA,Alliance,NE,451.00,451.00,2020,1
413,CPX,Culebra,PR,359.93,359.93,2020,1
413,LNS,Lancaster,PA,257.00,257.00,2020,1
415,GGW,Glasgow,MT,332.00,332.00,2020,1
416,GDV,Glendive,MT,474.50,474.50,2020,1
417,OLF,Wolf Point,MT,893.00,893.00,2020,1
418,GLH,Greenville,MS,278.67,278.67,2020,1
419,TUP,Tupelo,MS,429.00,429.00,2020,1
419,PGA,Page,AZ,626.40,626.40,2020,1
421,ELD,El Dorado,AR,440.25,440.25,2020,1
421,HRO,Harrison,AR,288.33,288.33,2020,1
423,PKB,Parkersburg,WV,450.00,450.00,2020,1
423,HOT,Hot Springs,AR,392.00,392.00,2020,1
423,BKW,Beckley,WV,590.33,590.33,2020,1
423,MKT,Mankato,MN,254.76,254.76,2020,1
427,OOK,Toksook,AK,561.00,561.00,2020,1
427,CEC,Crescent City,CA,369.00,369.00,2020,1
427,MCN,Macon,GA,426.00,426.00,2020,1
