,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.92) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
0,Finland,7.632000000000001,7.695,7.569,2.595,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.192,0.39299999999999996
1,Norway,7.593999999999999,7.657,7.53,2.383,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34
2,Denmark,7.555,7.622999999999999,7.487,2.37,1.351,1.59,0.868,0.6829999999999999,0.284,0.408
3,Iceland,7.495,7.593,7.398,2.426,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138
4,Switzerland,7.487,7.57,7.405,2.32,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004
5,Netherlands,7.441,7.497999999999999,7.3839999999999995,2.448,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295
6,Canada,7.327999999999999,7.421,7.236000000000001,2.306,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004
7,New Zealand,7.324,7.401,7.247000000000001,2.156,1.268,1.601,0.8759999999999999,0.669,0.365,0.389
8,Sweden,7.314,7.388,7.2410000000000005,2.217,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995
9,Australia,7.272,7.358,7.186,2.1390000000000002,1.34,1.5730000000000002,0.91,0.647,0.361,0.302
10,Israel,7.19,7.257000000000001,7.122999999999999,2.8169999999999997,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999
11,Austria,7.138999999999999,7.209,7.069,2.319,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998
12,Costa Rica,7.072,7.16,6.983,2.911,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999
13,Ireland,6.977,7.055,6.9,1.844,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306
14,Germany,6.965,7.024,6.905,2.151,1.34,1.474,0.861,0.586,0.273,0.28
15,Belgium,6.9270000000000005,6.995,6.859,2.215,1.324,1.483,0.894,0.583,0.188,0.24
16,Luxembourg,6.91,6.975,6.843999999999999,1.7690000000000001,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321
17,United States,6.886,6.974,6.797999999999999,2.227,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,0.133
18,United Kingdom,6.814,6.8870000000000005,6.7410000000000005,1.912,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272
19,United Arab Emirates,6.774,6.843999999999999,6.704,2.096,1.4669999999999999,1.296,0.7759999999999999,0.67,0.284,0.18600000000000003
20,Czech Republic,6.711,6.7829999999999995,6.638999999999999,2.494,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034
21,Malta,6.627000000000001,6.709,6.544,1.784,1.27,1.525,0.884,0.645,0.376,0.142
22,France,6.489,6.569,6.41,2.028,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002
23,Mexico,6.4879999999999995,6.581,6.396,2.795,1.038,1.252,0.7609999999999999,0.479,0.069,0.095
24,Chile,6.476,6.565,6.388,2.517,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061
25,Taiwan Province of China,6.441,6.525,6.356,2.136,1.365,1.436,0.857,0.418,0.151,0.078
26,Panama,6.43,6.539,6.321000000000001,2.336,1.112,1.4380000000000002,0.759,0.597,0.125,0.063
27,Brazil,6.419,6.515,6.3229999999999995,2.592,0.986,1.474,0.675,0.493,0.11,0.08800000000000001
28,Argentina,6.388,6.485,6.291,2.418,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006
29,Guatemala,6.382000000000001,6.497000000000001,6.267,2.8710000000000004,0.7809999999999999,1.268,0.608,0.604,0.179,0.071
30,Uruguay,6.379,6.474,6.284,2.147,1.093,1.459,0.7709999999999999,0.625,0.13,0.155
31,Qatar,6.374,6.568,6.181,1.5930000000000002,1.649,1.3030000000000002,0.748,0.654,0.256,0.171
32,Saudi Arabia,6.371,6.481,6.26,2.293,1.379,1.331,0.633,0.509,0.098,0.127
33,Singapore,6.343,6.406000000000001,6.28,1.005,1.5290000000000001,1.4509999999999998,1.008,0.631,0.261,0.457
34,Malaysia,6.322,6.477,6.167000000000001,2.5069999999999997,1.161,1.258,0.669,0.35600000000000004,0.311,0.059000000000000004
35,Spain,6.31,6.388,6.231,1.892,1.251,1.538,0.965,0.449,0.142,0.07400000000000001
36,Colombia,6.26,6.358,6.162000000000001,2.556,0.96,1.439,0.635,0.531,0.099,0.039
37,Trinidad & Tobago,6.192,6.416,5.968,2.148,1.2229999999999999,1.492,0.564,0.575,0.171,0.019
38,Slovakia,6.172999999999999,6.254,6.093,2.165,1.21,1.537,0.7759999999999999,0.354,0.11800000000000001,0.013999999999999999
39,El Salvador,6.167000000000001,6.272,6.061,2.884,0.8059999999999999,1.2309999999999999,0.639,0.461,0.065,0.08199999999999999
40,Nicaragua,6.141,6.256,6.026,2.59,0.6679999999999999,1.319,0.7,0.527,0.20800000000000002,0.128
41,Poland,6.122999999999999,6.1979999999999995,6.047999999999999,2.002,1.176,1.4480000000000002,0.7809999999999999,0.546,0.10800000000000001,0.064
42,Bahrain,6.105,6.191,6.019,1.743,1.338,1.3659999999999999,0.698,0.594,0.243,0.12300000000000001
43,Uzbekistan,6.096,6.196000000000001,5.996,1.8769999999999998,0.7190000000000001,1.584,0.605,0.7240000000000001,0.32799999999999996,0.259
44,Kuwait,6.082999999999999,6.171,5.996,1.805,1.474,1.301,0.675,0.5539999999999999,0.16699999999999998,0.106
45,Thailand,6.072,6.1610000000000005,5.984,1.902,1.016,1.4169999999999998,0.7070000000000001,0.637,0.364,0.028999999999999998
46,Italy,6.0,6.082999999999999,5.917999999999999,1.8430000000000002,1.264,1.501,0.946,0.281,0.13699999999999998,0.027999999999999997
47,Ecuador,5.973,6.0760000000000005,5.871,2.228,0.889,1.33,0.736,0.556,0.114,0.12
48,Belize,5.956,6.197,5.7139999999999995,2.71,0.807,1.101,0.474,0.593,0.183,0.08900000000000001
49,Lithuania,5.952000000000001,6.037000000000001,5.867000000000001,2.13,1.197,1.527,0.716,0.35,0.026000000000000002,0.006
50,Slovenia,5.9479999999999995,6.042999999999999,5.852,1.5219999999999998,1.219,1.506,0.856,0.633,0.16,0.051
51,Romania,5.945,6.037999999999999,5.852,2.269,1.1159999999999999,1.219,0.726,0.528,0.08800000000000001,0.001
52,Latvia,5.933,6.004,5.8629999999999995,2.1390000000000002,1.148,1.454,0.6709999999999999,0.363,0.092,0.066
53,Japan,5.915,5.997000000000001,5.832999999999999,1.39,1.294,1.462,0.988,0.5529999999999999,0.079,0.15
54,Mauritius,5.891,6.006,5.777,1.851,1.09,1.3869999999999998,0.684,0.584,0.245,0.05
55,Jamaica,5.89,6.126,5.653,2.182,0.8190000000000001,1.493,0.693,0.575,0.096,0.031
56,South Korea,5.875,5.968,5.782,1.98,1.266,1.204,0.955,0.244,0.175,0.051
57,Northern Cyprus,5.835,5.954,5.715,1.659,1.229,1.2109999999999999,0.909,0.495,0.179,0.154
58,Russia,5.81,5.876,5.744,2.0909999999999997,1.151,1.479,0.599,0.39899999999999997,0.065,0.025
59,Kazakhstan,5.79,5.871,5.709,1.778,1.143,1.516,0.631,0.45399999999999996,0.14800000000000002,0.121
60,Cyprus,5.7620000000000005,5.87,5.655,1.774,1.229,1.1909999999999998,0.909,0.423,0.20199999999999999,0.035
61,Bolivia,5.752000000000001,5.8420000000000005,5.662000000000001,2.469,0.7509999999999999,1.2229999999999999,0.508,0.606,0.141,0.054000000000000006
62,Estonia,5.739,5.815,5.662999999999999,1.4569999999999999,1.2,1.5319999999999998,0.737,0.5529999999999999,0.086,0.174
63,Paraguay,5.681,5.784,5.577000000000001,1.932,0.835,1.5219999999999998,0.615,0.541,0.162,0.07400000000000001
64,Peru,5.662999999999999,5.77,5.556,2.151,0.934,1.249,0.674,0.53,0.092,0.034
65,Kosovo,5.662000000000001,5.757000000000001,5.567,2.255,0.855,1.23,0.578,0.44799999999999995,0.27399999999999997,0.023
66,Moldova,5.64,5.712000000000001,5.568,2.659,0.657,1.301,0.62,0.23199999999999998,0.171,0.0
67,Turkmenistan,5.636,5.693,5.579,1.9180000000000001,1.016,1.5330000000000001,0.517,0.41700000000000004,0.19899999999999998,0.037000000000000005
68,Hungary,5.62,5.699,5.541,1.974,1.171,1.401,0.732,0.259,0.061,0.022000000000000002
69,Libya,5.566,5.687,5.445,1.9180000000000001,0.985,1.35,0.5529999999999999,0.496,0.11599999999999999,0.14800000000000002
70,Philippines,5.524,5.6370000000000005,5.4110000000000005,2.056,0.775,1.3119999999999998,0.513,0.643,0.12,0.105
71,Honduras,5.504,5.63,5.377999999999999,2.3280000000000003,0.62,1.205,0.622,0.45899999999999996,0.19699999999999998,0.07400000000000001
72,Belarus,5.483,5.558,5.409,1.6840000000000002,1.0390000000000001,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154
73,Turkey,5.483,5.582999999999999,5.382000000000001,1.729,1.148,1.38,0.6859999999999999,0.324,0.106,0.109
74,Pakistan,5.472,5.547999999999999,5.397,2.923,0.652,0.81,0.424,0.33399999999999996,0.21600000000000003,0.113
75,"Hong Kong SAR, China",5.43,5.523,5.337000000000001,0.644,1.405,1.29,1.03,0.524,0.24600000000000002,0.29100000000000004
76,Portugal,5.41,5.5089999999999995,5.312,1.276,1.188,1.429,0.884,0.562,0.055,0.017
77,Serbia,5.398,5.499,5.297999999999999,1.905,0.975,1.369,0.685,0.28800000000000003,0.134,0.043
78,Greece,5.358,5.456,5.26,1.9480000000000002,1.1540000000000001,1.202,0.879,0.131,0.0,0.044000000000000004
79,Tajikistan,5.352,5.434,5.271,2.248,0.474,1.179,0.598,0.503,0.214,0.136
80,Montenegro,5.347,5.45,5.245,1.87,1.0170000000000001,1.2790000000000001,0.7290000000000001,0.259,0.111,0.081
81,Croatia,5.321000000000001,5.398,5.244,1.7690000000000001,1.115,1.161,0.737,0.38,0.12,0.039
82,Dominican Republic,5.3020000000000005,5.426,5.178,1.4609999999999999,0.982,1.4409999999999998,0.614,0.578,0.12,0.106
83,Algeria,5.295,5.406000000000001,5.183,2.209,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135
84,Morocco,5.254,5.327999999999999,5.178999999999999,2.448,0.779,0.797,0.669,0.46,0.026000000000000002,0.07400000000000001
85,China,5.246,5.294,5.197,1.5859999999999999,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001
86,Azerbaijan,5.2010000000000005,5.27,5.131,1.776,1.024,1.161,0.603,0.43,0.031,0.17600000000000002
87,Lebanon,5.199,5.287999999999999,5.11,1.771,0.965,1.166,0.785,0.292,0.187,0.034
88,Macedonia,5.185,5.279,5.091,1.675,0.9590000000000001,1.239,0.691,0.39399999999999996,0.17300000000000001,0.052000000000000005
89,Jordan,5.1610000000000005,5.269,5.052,1.6969999999999998,0.8220000000000001,1.265,0.645,0.46799999999999997,0.13,0.134
90,Nigeria,5.155,5.275,5.035,2.552,0.6890000000000001,1.172,0.048,0.462,0.201,0.032
91,Kyrgyzstan,5.131,5.2170000000000005,5.045,1.736,0.53,1.416,0.594,0.54,0.281,0.035
92,Bosnia and Herzegovina,5.129,5.224,5.035,1.883,0.915,1.078,0.758,0.28,0.21600000000000003,0.0
93,Mongolia,5.125,5.199,5.05,1.4380000000000002,0.914,1.517,0.575,0.395,0.253,0.032
94,Vietnam,5.103,5.1770000000000005,5.03,1.4469999999999998,0.715,1.365,0.7020000000000001,0.618,0.177,0.079
95,Indonesia,5.093,5.194,4.9910000000000005,1.4169999999999998,0.899,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002
96,Bhutan,5.082,5.196000000000001,4.968999999999999,1.348,0.7959999999999999,1.335,0.527,0.541,0.364,0.171
97,Somalia,4.982,5.087,4.876,2.9610000000000003,0.0,0.7120000000000001,0.115,0.674,0.23800000000000002,0.282
98,Cameroon,4.975,5.09,4.86,2.688,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043
99,Bulgaria,4.933,5.022,4.843999999999999,1.219,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001
100,Nepal,4.88,4.992,4.769,1.7819999999999998,0.425,1.228,0.539,0.526,0.302,0.078
101,Venezuela,4.806,4.956,4.655,1.442,0.996,1.469,0.657,0.133,0.055999999999999994,0.052000000000000005
102,Gabon,4.758,4.86,4.657,1.715,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,0.052000000000000005
103,Palestinian Territories,4.743,4.851,4.636,1.8530000000000002,0.642,1.217,0.602,0.266,0.086,0.076
104,South Africa,4.724,4.831,4.617,1.368,0.94,1.41,0.33,0.516,0.10300000000000001,0.055999999999999994
105,Iran,4.707,4.822,4.591,1.315,1.0590000000000002,0.7709999999999999,0.691,0.45899999999999996,0.282,0.129
106,Ivory Coast,4.671,4.78,4.562,2.463,0.541,0.872,0.08,0.467,0.146,0.10300000000000001
107,Ghana,4.657,4.765,4.5489999999999995,2.093,0.5920000000000001,0.8959999999999999,0.337,0.499,0.212,0.028999999999999998
108,Senegal,4.631,4.707,4.555,2.026,0.429,1.117,0.433,0.406,0.138,0.08199999999999999
109,Laos,4.623,4.773,4.473,1.399,0.72,1.034,0.441,0.626,0.23,0.174
110,Tunisia,4.592,4.677,4.508,1.722,0.9,0.9059999999999999,0.69,0.271,0.04,0.063
111,Albania,4.586,4.695,4.477,1.462,0.9159999999999999,0.8170000000000001,0.79,0.419,0.149,0.032
112,Sierra Leone,4.571000000000001,4.712,4.428999999999999,2.855,0.256,0.813,0.0,0.355,0.23800000000000002,0.053
113,Congo (Brazzaville),4.559,4.688,4.43,2.041,0.682,0.8109999999999999,0.34299999999999997,0.514,0.091,0.077
114,Bangladesh,4.5,4.583,4.418,1.6640000000000001,0.532,0.85,0.579,0.58,0.153,0.14400000000000002
115,Sri Lanka,4.471,4.592,4.349,0.624,0.9179999999999999,1.314,0.672,0.585,0.307,0.05
116,Iraq,4.456,4.602,4.309,1.393,1.01,0.971,0.536,0.304,0.14800000000000002,0.095
117,Mali,4.447,4.539,4.355,2.13,0.37,1.2329999999999999,0.152,0.36700000000000005,0.139,0.055999999999999994
118,Namibia,4.441,4.654,4.229,1.287,0.8740000000000001,1.281,0.365,0.519,0.051,0.064
119,Cambodia,4.433,4.5360000000000005,4.329,1.321,0.5489999999999999,1.088,0.457,0.696,0.256,0.065
120,Burkina Faso,4.4239999999999995,4.5169999999999995,4.332,2.145,0.314,1.097,0.254,0.312,0.175,0.128
121,Egypt,4.419,4.51,4.328,1.444,0.885,1.025,0.5529999999999999,0.312,0.092,0.107
122,Mozambique,4.417,4.577,4.256,2.249,0.198,0.902,0.17300000000000001,0.531,0.20600000000000002,0.158
123,Kenya,4.41,4.513,4.306,1.5030000000000001,0.493,1.048,0.45399999999999996,0.504,0.35200000000000004,0.055
124,Zambia,4.377,4.508,4.247,1.6669999999999998,0.562,1.047,0.295,0.503,0.221,0.08199999999999999
125,Mauritania,4.356,4.447,4.263999999999999,1.905,0.557,1.245,0.292,0.129,0.134,0.09300000000000001
126,Ethiopia,4.35,4.428999999999999,4.272,1.8840000000000001,0.308,0.95,0.391,0.452,0.22,0.146
127,Georgia,4.34,4.425,4.256,1.624,0.853,0.5920000000000001,0.643,0.375,0.038,0.215
128,Armenia,4.321000000000001,4.412,4.229,1.483,0.816,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997
129,Myanmar,4.308,4.383,4.2330000000000005,0.667,0.682,1.1740000000000002,0.429,0.58,0.598,0.17800000000000002
130,Chad,4.301,4.42,4.181,2.553,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06
131,Congo (Kinshasa),4.245,4.341,4.149,2.274,0.069,1.136,0.204,0.312,0.19699999999999998,0.052000000000000005
132,India,4.19,4.237,4.1419999999999995,1.432,0.721,0.747,0.485,0.539,0.172,0.09300000000000001
133,Niger,4.166,4.27,4.061,2.283,0.131,0.867,0.221,0.39,0.175,0.099
134,Uganda,4.1610000000000005,4.282,4.04,1.742,0.322,1.09,0.237,0.45,0.259,0.061
135,Benin,4.141,4.255,4.0280000000000005,2.481,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,0.067
136,Sudan,4.138999999999999,4.345,3.932,1.75,0.605,1.24,0.312,0.016,0.134,0.08199999999999999
137,Ukraine,4.103,4.197,4.0089999999999995,0.927,0.7929999999999999,1.413,0.609,0.163,0.187,0.011000000000000001
138,Togo,3.9989999999999997,4.11,3.887,2.319,0.259,0.474,0.253,0.434,0.158,0.10099999999999999
139,Guinea,3.964,4.07,3.858,1.943,0.344,0.792,0.21100000000000002,0.39399999999999996,0.185,0.094
140,Lesotho,3.8080000000000003,4.045,3.572,1.392,0.47200000000000003,1.215,0.079,0.423,0.11599999999999999,0.11199999999999999
141,Angola,3.795,3.951,3.638,1.531,0.73,1.125,0.26899999999999996,0.0,0.079,0.061
142,Madagascar,3.7739999999999996,3.8569999999999998,3.69,1.778,0.262,0.9079999999999999,0.402,0.221,0.155,0.049
143,Zimbabwe,3.6919999999999997,3.806,3.5789999999999997,1.3559999999999999,0.35700000000000004,1.094,0.248,0.406,0.132,0.099
144,Afghanistan,3.6319999999999997,3.715,3.548,2.1959999999999997,0.332,0.537,0.255,0.085,0.191,0.036000000000000004
145,Botswana,3.59,3.7039999999999997,3.475,0.292,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092
146,Malawi,3.5869999999999997,3.6910000000000003,3.4819999999999998,1.732,0.18600000000000003,0.541,0.306,0.531,0.21,0.08
147,Haiti,3.582,3.713,3.451,1.744,0.315,0.7140000000000001,0.289,0.025,0.392,0.10400000000000001
148,Liberia,3.495,3.623,3.3680000000000003,1.64,0.076,0.858,0.267,0.419,0.20600000000000002,0.03
149,Syria,3.4619999999999997,3.6639999999999997,3.26,1.244,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,0.14400000000000002
150,Rwanda,3.408,3.5,3.3169999999999997,0.5,0.332,0.8959999999999999,0.4,0.636,0.2,0.444
151,Yemen,3.355,3.448,3.262,1.1059999999999999,0.442,1.073,0.34299999999999997,0.244,0.083,0.064
152,Tanzania,3.303,3.4139999999999997,3.193,0.628,0.455,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999
153,South Sudan,3.2539999999999996,3.385,3.123,1.6909999999999998,0.337,0.608,0.177,0.11199999999999999,0.22399999999999998,0.106
154,Central African Republic,3.083,3.227,2.9389999999999996,2.487,0.024,0.0,0.01,0.305,0.218,0.038
155,Burundi,2.905,3.074,2.735,1.7519999999999998,0.091,0.627,0.145,0.065,0.149,0.076
